 in_star,      iq
       1,     138
       2,     644
       3,     963
       4,     479
       5,     365
       6,     714
       7,     848
       8,     297
       9,     630
      10,     785
      11,     372
      12,     437
      13,     318
      14,     464
      15,     693
      16,     749
      17,     174
      18,     927
      19,     635
      20,     488
      21,     875
      22,     732
      23,     270
      24,     347
       1,     974
       2,     468
       3,     149
       4,     633
       5,     747
       6,     398
       7,     264
       8,     815
       9,     482
      10,     327
      11,     740
      12,     675
      13,     794
      14,     648
      15,     419
      16,     363
      17,     938
      18,     185
      19,     477
      20,     624
      21,     237
      22,     380
      23,     842
      24,     765
